onset	duration	trial_type
222.017	0.001	10
222.461	0.001	265
223.061	0.001	47
224.017	0.001	10
225.061	0.001	47
225.279	0.001	265
226.017	0.001	10
226.288	0.001	265
227.061	0.001	47
227.302	0.001	265
228.017	0.001	10
229.061	0.001	47
229.168	0.001	265
230.017	0.001	10
231.061	0.001	47
231.065	0.001	265
232.017	0.001	10
232.728	0.001	265
233.061	0.001	47
234.017	0.001	10
235.061	0.001	47
236.017	0.001	10
236.36	0.001	265
237.061	0.001	47
238.017	0.001	10
239.061	0.001	47
239.246	0.001	265
240.017	0.001	10
240.147	0.001	768
240.151	0.001	768
240.959	0.001	265
241.061	0.001	47
242.017	0.001	10
243.061	0.001	47
243.632	0.001	265
244.017	0.001	10
245.061	0.001	47
246.017	0.001	10
246.07	0.001	265
247.061	0.001	47
247.102	0.001	265
248.017	0.001	10
249.061	0.001	47
249.978	0.001	265
250.017	0.001	10
251.061	0.001	47
251.852	0.001	265
252.017	0.001	10
253.061	0.001	47
254.017	0.001	10
255.061	0.001	47
255.5	0.001	265
256.017	0.001	10
257.061	0.001	47
257.22	0.001	265
258.017	0.001	10
259.061	0.001	47
259.144	0.001	265
260.017	0.001	10
261.061	0.001	47
261.926	0.001	265
262.017	0.001	10
263.061	0.001	47
263.78	0.001	265
264.017	0.001	10
265.061	0.001	47
266.017	0.001	10
266.498	0.001	265
267.061	0.001	47
268.017	0.001	10
268.299	0.001	265
269.061	0.001	47
270.017	0.001	10
271.061	0.001	47
271.986	0.001	265
272.017	0.001	10
273.061	0.001	47
274.017	0.001	10
274.675	0.001	265
275.061	0.001	47
276.017	0.001	10
276.462	0.001	265
277.061	0.001	47
278.017	0.001	10
278.294	0.001	265
279.061	0.001	47
280.017	0.001	10
280.2	0.001	265
281.061	0.001	47
282.017	0.001	10
283.061	0.001	47
283.315	0.001	265
284.017	0.001	10
284.35	0.001	265
285.061	0.001	47
285.156	0.001	768
285.16	0.001	768
286.017	0.001	10
286.252	0.001	265
287.061	0.001	47
288.017	0.001	10
289.061	0.001	47
289.078	0.001	265
290.017	0.001	10
290.723	0.001	265
291.061	0.001	47
292.017	0.001	10
292.224	0.001	265
293.061	0.001	47
294.017	0.001	10
295.061	0.001	47
296.017	0.001	10
297.061	0.001	47
297.433	0.001	265
298.017	0.001	10
299.061	0.001	47
300.017	0.001	10
301.061	0.001	47
301.631	0.001	265
302.017	0.001	10
303.061	0.001	47
303.566	0.001	265
304.017	0.001	10
305.061	0.001	47
305.307	0.001	265
306.017	0.001	10
307.061	0.001	47
307.147	0.001	265
308.017	0.001	10
308.72	0.001	265
309.061	0.001	47
310.017	0.001	10
310.129	0.001	265
311.061	0.001	47
311.208	0.001	265
312.017	0.001	10
312.213	0.001	265
313.061	0.001	47
313.95	0.001	265
314.017	0.001	10
315.061	0.001	47
315.799	0.001	265
316.017	0.001	10
317.061	0.001	47
317.671	0.001	265
318.017	0.001	10
319.061	0.001	47
320.017	0.001	10
320.276	0.001	265
321.061	0.001	47
321.968	0.001	265
322.017	0.001	10
323.061	0.001	47
324.017	0.001	10
325.061	0.001	47
325.97	0.001	265
326.017	0.001	10
327.061	0.001	47
328.008	0.001	265
328.017	0.001	10
329.061	0.001	47
329.947	0.001	265
330.017	0.001	10
331.061	0.001	47
331.549	0.001	768
331.553	0.001	768
331.7	0.001	265
332.017	0.001	10
333.061	0.001	47
334.017	0.001	10
335.061	0.001	47
335.108	0.001	265
336.017	0.001	10
337.061	0.001	47
337.71	0.001	265
338.017	0.001	10
339.061	0.001	47
340.017	0.001	10
340.288	0.001	265
341.061	0.001	47
342.017	0.001	10
342.14	0.001	265
343.061	0.001	47
344.017	0.001	10
344.778	0.001	265
345.061	0.001	47
346.017	0.001	10
346.528	0.001	265
347.061	0.001	47
348.017	0.001	10
349.061	0.001	47
349.073	0.001	265
350.017	0.001	10
350.788	0.001	265
351.061	0.001	47
352.017	0.001	10
352.583	0.001	265
353.061	0.001	47
353.588	0.001	265
354.017	0.001	10
355.061	0.001	47
356.017	0.001	10
356.464	0.001	265
357.061	0.001	47
358.017	0.001	10
358.294	0.001	265
359.061	0.001	47
360.017	0.001	10
360.134	0.001	265
361.061	0.001	47
362.017	0.001	10
362.956	0.001	265
363.061	0.001	47
364.017	0.001	10
364.787	0.001	265
365.061	0.001	47
366.017	0.001	10
366.512	0.001	265
367.061	0.001	47
368.017	0.001	10
369.061	0.001	47
370.017	0.001	10
370.303	0.001	265
371.061	0.001	47
372.017	0.001	10
372.189	0.001	265
373.061	0.001	47
374.017	0.001	10
374.084	0.001	265
375.061	0.001	47
376.017	0.001	10
377.061	0.001	47
377.158	0.001	768
377.163	0.001	768
378.017	0.001	10
379.061	0.001	47
380.017	0.001	10
380.948	0.001	265
381.061	0.001	47
382.017	0.001	10
382.829	0.001	265
383.061	0.001	47
384.017	0.001	10
385.061	0.001	47
385.498	0.001	265
386.017	0.001	10
387.061	0.001	47
388.017	0.001	10
388.032	0.001	265
389.061	0.001	47
390.017	0.001	10
391.061	0.001	47
392.017	0.001	10
393.061	0.001	47
393.964	0.001	265
394.017	0.001	10
395.061	0.001	47
396.017	0.001	10
397.061	0.001	47
397.648	0.001	265
398.017	0.001	10
399.061	0.001	47
400.017	0.001	10
401.061	0.001	47
402.017	0.001	10
402.3	0.001	265
403.061	0.001	47
404.017	0.001	10
405.061	0.001	47
405.105	0.001	265
406.017	0.001	10
406.797	0.001	265
407.061	0.001	47
408.017	0.001	10
408.74	0.001	265
409.061	0.001	47
410.017	0.001	10
411.061	0.001	47
411.323	0.001	265
412.017	0.001	10
413.061	0.001	47
413.144	0.001	265
414.017	0.001	10
415.061	0.001	47
415.849	0.001	265
416.017	0.001	10
417.061	0.001	47
418.017	0.001	10
418.545	0.001	265
419.061	0.001	47
420.017	0.001	10
421.061	0.001	47
421.862	0.001	265
422.017	0.001	10
423.061	0.001	47
423.752	0.001	768
423.756	0.001	768
424.017	0.001	10
425.061	0.001	47
425.227	0.001	265
426.017	0.001	10
426.941	0.001	265
427.061	0.001	47
428.017	0.001	10
429.061	0.001	47
430.017	0.001	10
430.326	0.001	265
431.061	0.001	47
432.017	0.001	10
432.891	0.001	265
433.061	0.001	47
434.017	0.001	10
435.061	0.001	47
435.192	0.001	265
436.017	0.001	10
437.061	0.001	47
437.927	0.001	265
438.017	0.001	10
439.061	0.001	47
439.674	0.001	265
440.017	0.001	10
441.061	0.001	47
441.296	0.001	265
442.017	0.001	10
443.061	0.001	47
444.017	0.001	10
445.061	0.001	47
445.376	0.001	265
446.017	0.001	10
447.061	0.001	47
447.279	0.001	265
448.017	0.001	10
449.01	0.001	265
449.061	0.001	47
450.017	0.001	10
451.061	0.001	47
451.548	0.001	265
452.017	0.001	10
453.003	0.001	265
453.061	0.001	47
454.017	0.001	10
454.925	0.001	265
455.061	0.001	47
456.017	0.001	10
457.061	0.001	47
458.017	0.001	10
459.061	0.001	47
459.652	0.001	265
460.017	0.001	10
461.061	0.001	47
461.493	0.001	265
462.017	0.001	10
463.061	0.001	47
464.017	0.001	10
464.079	0.001	265
465.061	0.001	47
466.017	0.001	10
467.061	0.001	47
467.6	0.001	265
468.017	0.001	10
469.061	0.001	47
470.017	0.001	10
470.146	0.001	768
470.15	0.001	768
470.249	0.001	265
471.061	0.001	47
472.017	0.001	10
472.026	0.001	265
473.061	0.001	47
473.752	0.001	265
474.017	0.001	10
475.061	0.001	47
476.017	0.001	10
477.061	0.001	47
478.017	0.001	10
478.035	0.001	265
479.061	0.001	47
479.754	0.001	265
480.017	0.001	10
481.061	0.001	47
481.448	0.001	265
482.017	0.001	10
483.061	0.001	47
483.992	0.001	265
484.017	0.001	10
485.061	0.001	47
486.017	0.001	10
486.741	0.001	265
487.061	0.001	47
488.017	0.001	10
488.585	0.001	265
489.061	0.001	47
490.017	0.001	10
491.061	0.001	47
491.226	0.001	265
492.017	0.001	10
493.061	0.001	47
493.163	0.001	265
494.017	0.001	10
495.061	0.001	47
495.877	0.001	265
496.017	0.001	10
497.061	0.001	47
498.017	0.001	10
498.639	0.001	265
499.061	0.001	47
499.649	0.001	265
500.017	0.001	10
501.061	0.001	47
501.542	0.001	265
502.017	0.001	10
502.564	0.001	265
503.061	0.001	47
504.017	0.001	10
505.061	0.001	47
506.017	0.001	10
506.086	0.001	265
507.061	0.001	47
507.871	0.001	265
508.017	0.001	10
509.061	0.001	47
509.806	0.001	265
510.017	0.001	10
511.061	0.001	47
512.017	0.001	10
512.576	0.001	265
513.061	0.001	47
514.017	0.001	10
514.294	0.001	265
515.061	0.001	47
515.788	0.001	768
515.793	0.001	768
516.017	0.001	10
516.2	0.001	265
517.061	0.001	47
518.017	0.001	10
518.131	0.001	265
519.061	0.001	47
520.017	0.001	10
521.061	0.001	47
521.755	0.001	265
522.017	0.001	10
523.061	0.001	47
524.017	0.001	10
525.061	0.001	47
526.017	0.001	10
526.515	0.001	265
527.061	0.001	47
528.017	0.001	10
528.459	0.001	265
529.061	0.001	47
530.017	0.001	10
530.145	0.001	265
531.061	0.001	47
532.017	0.001	10
533.061	0.001	47
533.65	0.001	265
534.017	0.001	10
535.061	0.001	47
536.017	0.001	10
536.517	0.001	265
537.061	0.001	47
538.017	0.001	10
538.253	0.001	265
539.061	0.001	47
540.017	0.001	10
540.022	0.001	265
541.061	0.001	47
542.017	0.001	10
542.351	0.001	265
543.061	0.001	47
544.017	0.001	10
545.061	0.001	47
545.156	0.001	265
546.017	0.001	10
547.061	0.001	47
547.795	0.001	265
548.017	0.001	10
549.061	0.001	47
549.545	0.001	265
550.017	0.001	10
551.061	0.001	47
551.265	0.001	265
552.017	0.001	10
553.061	0.001	47
554.017	0.001	10
554.828	0.001	265
555.061	0.001	47
556.017	0.001	10
557.061	0.001	47
558.017	0.001	10
559.061	0.001	47
559.742	0.001	265
560.017	0.001	10
561.061	0.001	47
562.542	0.001	265
563.061	0.001	47
565.061	0.001	47
565.226	0.001	265
566.899	0.001	265
567.061	0.001	47
568.767	0.001	265
569.061	0.001	47
571.061	0.001	47
572.866	0.001	265
573.061	0.001	47
573.882	0.001	265
575.061	0.001	47
575.921	0.001	265
577.061	0.001	47
578.791	0.001	265
579.061	0.001	47
581.061	0.001	47
583.061	0.001	47
583.358	0.001	265
584.4	0.001	265
